,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
676,HCL Infosystems,4.0 (1.5k),1.5k,IT Services & Consulting , Noida +105 other locations,1.5k
677,Hinduja Leyland Finance,4.0 (1.5k),1.5k,NBFC , Chennai +301 other locations,1.5k
678,Patra India,3.6 (1.5k),1.5k,BPO , Visakhapatnam +26 other locations,1.5k
679,XL Dynamics,3.6 (1.5k),1.5k,IT Services & Consulting , Mumbai +32 other locations,1.5k
680,SHYAM METALICS AND ENERGY,3.4 (1.5k),1.5k,Metals & Mining , Kolkata +75 other locations,1.5k
681,Tata Consumer Products,3.4 (1.5k),1.5k,FMCG , Bengaluru +226 other locations,1.5k
682,Steel Strips Wheels,3.8 (1.5k),1.5k,Auto Components , Chennai +51 other locations,1.5k
683,Evalueserve,3.0 (1.5k),1.5k,Analytics & KPO , Gurugram +15 other locations,1.5k
684,Oracle Cerner,3.4 (1.5k),1.5k,Software Product , Bengaluru +7 other locations,1.5k
685,Karur Vysya Bank,3.5 (1.5k),1.5k,Banking , Chennai +193 other locations,1.5k
686,GMR Group,3.9 (1.5k),1.5k,Engineering & Construction , New Delhi +74 other locations,1.5k
687,GE VERNOVA,4.1 (1.5k),1.5k,Power , Bengaluru +84 other locations,1.5k
688,Piramal Pharma,3.9 (1.5k),1.5k,Pharma , Mumbai +83 other locations,1.5k
689,Canara Bank,3.6 (1.5k),1.5k,Banking , Bengaluru +226 other locations,1.5k
690,Labmentix,4.5 (1.5k),1.5k,Bengaluru +32 other locations,,1.5k
691,SAI Life Sciences,3.9 (1.5k),1.5k,Clinical Research , Hyderabad +26 other locations,1.5k
692,Page Industries,4.1 (1.5k),1.5k,Fashion & Textile , Bengaluru +165 other locations,1.5k
693,Ashoka Buildcon,4.1 (1.5k),1.5k,Engineering & Construction , Nashik +155 other locations,1.5k
694,Tata AutoComp Systems,3.8 (1.5k),1.5k,Auto Components , Pune +45 other locations,1.5k
695,Max Fashion,4.0 (1.5k),1.5k,Retail , Bengaluru +153 other locations,1.5k
696,Tanishq,4.1 (1.5k),1.5k,Jewellery , Kolkata +238 other locations,1.5k
697,Wheelseye Technology,3.4 (1.5k),1.5k,Internet , Gurugram +225 other locations,1.5k
698,QualityKiosk Technologies,3.2 (1.5k),1.5k,IT Services & Consulting , Mumbai +20 other locations,1.5k
699,Sonata Software,3.4 (1.5k),1.5k,IT Services & Consulting , Bengaluru +17 other locations,1.5k
700,Honeywell Technology Solutions,3.7 (1.5k),1.5k,Industrial Automation , Bengaluru +18 other locations,1.5k
701,Gland Pharma,4.0 (1.5k),1.5k,Pharma , Hyderabad +35 other locations,1.5k
702,Tata Group,4.2 (1.5k),1.5k,IT Services & Consulting , Mumbai +170 other locations,1.5k
703,Airtel Payments Bank,3.8 (1.5k),1.5k,Banking , Gurugram +334 other locations,1.5k
704,Chandigarh University,4.3 (1.5k),1.5k,Education & Training , Chandigarh +48 other locations,1.5k
705,Devyani International,3.8 (1.5k),1.5k,Hospitality , New Delhi +136 other locations,1.5k
706,ISS Facility Services,4.0 (1.5k),1.5k,Facility Management Services , Mumbai +66 other locations,1.5k
707,Taurus BPO Services,4.1 (1.5k),1.5k,BPO , Pune +23 other locations,1.5k
708,Indoco Remedies,3.5 (1.5k),1.5k,Pharma , Mumbai +84 other locations,1.5k
709,Daimler India Commercial Vehicles,3.9 (1.4k),1.4k,Automobile , Chennai +49 other locations,1.4k
710,V5 Global Services,3.9 (1.4k),1.4k,Recruitment , New Delhi +216 other locations,1.4k
711,Oberoi Group of Hotels,4.0 (1.4k),1.4k,Hospitality , New Delhi +38 other locations,1.4k
712,Aon,3.8 (1.4k),1.4k,Management Consulting , Gurugram +25 other locations,1.4k
713,Valeo,4.0 (1.4k),1.4k,Auto Components , Chennai +23 other locations,1.4k
714,Apco Infratech,3.8 (1.4k),1.4k,Engineering & Construction , Mumbai +95 other locations,1.4k
715,Acuity Analytics,3.2 (1.4k),1.4k,Analytics & KPO , Bengaluru +16 other locations,1.4k
716,mPokket,4.5 (1.4k),1.4k,NBFC , Kolkata +21 other locations,1.4k
717,Heritage Foods,4.0 (1.4k),1.4k,Food Processing , Hyderabad +126 other locations,1.4k
718,NIIT,3.5 (1.4k),1.4k,Education & Training , Gurugram +102 other locations,1.4k
719,Narayana Educational Society,3.5 (1.4k),1.4k,Education & Training , Hyderabad +145 other locations,1.4k
720,Bharat Forge,3.7 (1.4k),1.4k,Auto Components , Pune +28 other locations,1.4k
721,Hyatt Regency,4.0 (1.4k),1.4k,Hospitality , New Delhi +50 other locations,1.4k
722,Amneal Pharmaceuticals,4.2 (1.4k),1.4k,Pharma , Ahmedabad +44 other locations,1.4k
723,Apexon,3.3 (1.4k),1.4k,IT Services & Consulting , Bengaluru +22 other locations,1.4k
724,SBFC Finance,3.8 (1.4k),1.4k,NBFC , Mumbai +218 other locations,1.4k
725,PNB Housing Finance,3.8 (1.4k),1.4k,NBFC , New Delhi +169 other locations,1.4k
726,Happiest Minds Technologies,3.4 (1.4k),1.4k,IT Services & Consulting , Bengaluru +17 other locations,1.4k
727,Acmegrade,3.9 (1.4k),1.4k,EdTech , Bengaluru +21 other locations,1.4k
728,Altimetrik,3.5 (1.4k),1.4k,IT Services & Consulting , Bengaluru +15 other locations,1.4k
729,Sony,4.1 (1.4k),1.4k,Consumer Electronics & Appliances , New Delhi +145 other locations,1.4k
730,Agilus Diagnostics,4.1 (1.4k),1.4k,Healthcare , Mumbai +136 other locations,1.4k
731,ALTEN,3.6 (1.4k),1.4k,IT Services & Consulting , Bengaluru +28 other locations,1.4k
732,Jaquar,4.1 (1.4k),1.4k,Building Material , Gurugram +115 other locations,1.4k
733,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6 (1.4k),1.4k,Auto Components , Pune +47 other locations,1.4k
734,Aumovio,3.8 (1.4k),1.4k,Auto Components , Bengaluru +21 other locations,1.4k
735,Tieto,4.1 (1.4k),1.4k,IT Services & Consulting , Pune +14 other locations,1.4k
736,AB InBev India,3.3 (1.4k),1.4k,Beverage , Bengaluru +77 other locations,1.4k
737,Morningstar,3.7 (1.4k),1.4k,Financial Services , Mumbai +18 other locations,1.4k
738,Indegene,3.3 (1.4k),1.4k,Analytics & KPO , Bengaluru +32 other locations,1.4k
739,Amara Raja Energy & Mobility,4.0 (1.4k),1.4k,Auto Components , Tirupati +94 other locations,1.4k
740,Fusion Finance,3.9 (1.4k),1.4k,NBFC , New Delhi +343 other locations,1.4k
741,IDC Technologies,3.1 (1.4k),1.4k,IT Services & Consulting , Noida +66 other locations,1.4k
742,Slk Software Services,3.2 (1.4k),1.4k,IT Services & Consulting , Bengaluru +15 other locations,1.4k
743,The Muthoot Group,3.6 (1.4k),1.4k,Financial Services , New Delhi +311 other locations,1.4k
744,J. Kumar Infraprojects,4.1 (1.4k),1.4k,Engineering & Construction , Mumbai +41 other locations,1.4k
745,Adobe,3.7 (1.4k),1.4k,Software Product , Bengaluru +22 other locations,1.4k
746,Xiaomi,3.8 (1.4k),1.4k,Consumer Electronics & Appliances , Bengaluru +213 other locations,1.4k
747,TCS iON,3.8 (1.4k),1.4k,IT Services & Consulting , Chennai +115 other locations,1.4k
