,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
1364,Lenovo,4.1 (777),777,Consumer Electronics & Appliances , Bengaluru +84 other locations,777
1365,Radical Minds,2.9 (778),778,BPO , Gurugram +13 other locations,778
1366,Allied Digital Services,3.1 (776),776,IT Services & Consulting , Mumbai +56 other locations,776
1367,First Advantage,3.5 (776),776,Recruitment , Bengaluru +12 other locations,776
1368,Reliance Smart,4.1 (775),775,Retail , Hyderabad +252 other locations,775
1369,Creative Synergies Group,3.9 (775),775,IT Services & Consulting , Bengaluru +9 other locations,775
1370,Lea Associates South Asia,4.3 (774),774,Engineering & Construction , New Delhi +140 other locations,774
1371,Ask Automotive,4.2 (775),775,Auto Components , Gurugram +30 other locations,775
1372,Petpooja,4.0 (774),774,Software Product , Ahmedabad +76 other locations,774
1373,Hitachi Digital Services,3.5 (774),774,IT Services & Consulting , Hyderabad +15 other locations,774
1374,Hilti,3.4 (774),774,Industrial Machinery , Gurugram +48 other locations,774
1375,Toyo Engineering,4.0 (774),774,Engineering & Construction , Mumbai +45 other locations,774
1376,People Tech Group,2.3 (773),773,IT Services & Consulting , Hyderabad +13 other locations,773
1377,Axtria,2.7 (772),772,Software Product , Gurugram +8 other locations,772
1378,Fleetguard Filters Private Limited,4.3 (769),769,Auto Components , Pune +84 other locations,769
1379,Creambell,3.8 (769),769,Food Processing , New Delhi +105 other locations,769
1380,Ksb Pumps,3.8 (767),767,Industrial Machinery , Pune +39 other locations,767
1381,Bses Rajdhani Power,3.8 (768),768,Power , New Delhi +22 other locations,768
1382,Assystem,3.2 (766),766,Engineering & Construction , Chennai +68 other locations,766
1383,Fidelity International,3.6 (766),766,Financial Services , Gurugram +14 other locations,766
1384,Quatrro Business Support Services,3.3 (766),766,Recruitment , Gurugram +14 other locations,766
1385,JioStar,3.5 (767),767,Media & Entertainment , Mumbai +42 other locations,767
1386,Wipro Infrastructure Engineering,3.7 (764),764,Industrial Machinery , Bengaluru +38 other locations,764
1387,Forvia Hella,3.8 (764),764,Auto Components , Pune +32 other locations,764
1388,Alivus Life Sciences,3.8 (764),764,Pharma , Ankleshwar +22 other locations,764
1389,JM Financial,3.8 (764),764,Financial Services , Mumbai +70 other locations,764
1390,Amadeus,3.7 (761),761,Software Product , Bengaluru +14 other locations,761
1391,Bunge India,3.9 (759),759,Food Processing , Sahibzada Ajit Singh Nagar +70 other locations,759
1392,VA Tech Wabag,3.8 (762),762,Waste Management , Chennai +53 other locations,762
1393,BNP Paribas India Solutions,3.6 (762),762,IT Services & Consulting , Mumbai +9 other locations,762
1394,Dunzo,3.5 (760),760,Internet , Bengaluru +21 other locations,760
1395,Better.com,3.0 (759),759,Financial Services , Gurugram +9 other locations,759
1396,Times Internet,3.5 (759),759,Internet , Noida +24 other locations,759
1397,McDermott International,4.2 (759),759,Engineering & Construction , Chennai +33 other locations,759
1398,Ascendion,3.3 (760),760,IT Services & Consulting , Bengaluru +16 other locations,760
1399,Neurealm,3.4 (759),759,IT Services & Consulting , Chennai +18 other locations,759
1400,Samsung E&A,3.9 (758),758,Engineering & Construction , Noida +46 other locations,758
1401,India Japan Lighting,4.1 (758),758,Auto Components , Chennai +30 other locations,758
1402,Central Industrial Security Force,4.3 (758),758,Law Enforcement & Security , New Delhi +88 other locations,758
1403,ManipalCigna Health Insurance,3.8 (757),757,Insurance , Mumbai +134 other locations,757
1404,Zee Entertainment Enterprises,3.4 (757),757,Media & Entertainment , Mumbai +35 other locations,757
1405,Wabtec,3.9 (757),757,Auto Components , Bengaluru +31 other locations,757
1406,Brane Enterprises,2.1 (756),756,Software Product , Hyderabad +12 other locations,756
1407,National Informatics Centre,3.9 (755),755,Government , New Delhi +77 other locations,755
1408,Wapcos,3.2 (756),756,Engineering & Construction , New Delhi +146 other locations,756
1409,1 India Family Mart,4.6 (754),754,Retail , New Delhi +99 other locations,754
1410,HSBC Software Development,4.1 (754),754,Software Product , Pune +8 other locations,754
1411,Celebal Technologies,3.0 (753),753,IT Services & Consulting , Jaipur +23 other locations,753
1412,Padget Electronics,3.8 (753),753,Electronics Manufacturing , Noida +17 other locations,753
1413,CADD Centre Training Services,4.0 (753),753,Education & Training , Chennai +133 other locations,753
1414,BCD Travel,4.3 (751),751,Travel & Tourism , Bengaluru +11 other locations,751
1415,Patel Infrastructure Limited,4.2 (752),752,Engineering & Construction , Vadodara +59 other locations,752
1416,Vaaman Engineers,3.8 (751),751,Engineering & Construction , Jharsuguda +46 other locations,751
1417,Orion Edutech,3.1 (750),750,EdTech , Kolkata +114 other locations,750
1418,TO THE NEW,3.6 (750),750,IT Services & Consulting , Noida +19 other locations,750
1419,Ameriprise Financial,3.7 (750),750,Financial Services , Gurugram +11 other locations,750
1420,Protiviti,3.0 (750),750,Management Consulting , Gurugram +28 other locations,750
1421,CMS Computers Limited (INDIA),3.6 (749),749,IT Services & Consulting , New Delhi +78 other locations,749
1422,Finolex Cables,3.7 (749),749,Electrical Equipment , Pune +76 other locations,749
1423,Sharda Motor Industries,3.7 (748),748,Auto Components , Chennai +27 other locations,748
1424,Veradigm,3.7 (748),748,Software Product , Pune +9 other locations,748
1425,Hapag-Lloyd,3.8 (746),746,Ports & Shipping , Chennai +16 other locations,746
1426,Exicom,4.0 (745),745,Semiconductors , Gurugram +31 other locations,745
1427,Livguard,3.9 (745),745,Electronics Manufacturing , Gurugram +86 other locations,745
1428,Galfar,3.9 (744),744,Engineering & Construction , Muscat +40 other locations,744
1429,Integreon,3.2 (744),744,BPO , Mumbai +12 other locations,744
1430,SLK Global Services,4.0 (743),743,BPO , Bengaluru +9 other locations,743
1431,Steel Authority Of India,4.1 (744),744,Iron & Steel , Bokaro +53 other locations,744
1432,India Cements,3.9 (743),743,Building Material , Chennai +93 other locations,743
1433,Religare,3.6 (743),743,Financial Services , New Delhi +98 other locations,743
1434,UnitedLex,2.7 (742),742,Analytics & KPO , New Delhi +13 other locations,742
1435,Primus Global Technologies,3.7 (743),743,IT Services & Consulting , Bengaluru +27 other locations,743
1436,Bitwise Solutions,3.7 (742),742,IT Services & Consulting , Pune +9 other locations,742
1437,ESL Steel,3.8 (741),741,Iron & Steel , Bokaro +24 other locations,741
1438,EMERSON PROCESS MANAGEMENT,4.1 (740),740,Industrial Automation , Pune +31 other locations,740
1439,Mswipe Technologies,3.2 (740),740,FinTech , Mumbai +97 other locations,740
1440,LifeCell International,3.3 (739),739,Biotechnology , Chennai +76 other locations,739
1441,Mott MacDonald,4.0 (738),738,Management Consulting , Mumbai +49 other locations,738
1442,Greenply,3.8 (738),738,Building Material , Kolkata +96 other locations,738
1443,Neuland Laboratories,4.0 (739),739,Pharma , Hyderabad +7 other locations,739
1444,OLX India,3.7 (738),738,Internet , Gurugram +57 other locations,738
1445,Google Operations Center,3.6 (738),738,BPO , Hyderabad +16 other locations,738
1446,Transrail Lighting,4.0 (738),738,Engineering & Construction , Mumbai +98 other locations,738
1447,Stellantis,3.4 (738),738,Automobile , Chennai +17 other locations,738
1448,Care Hospital,4.1 (736),736,Healthcare , Hyderabad +43 other locations,736
1449,ASG Eye Hospital,3.5 (735),735,Healthcare , Jaipur +77 other locations,735
1450,Sun Life Financial,3.8 (734),734,Financial Services , Gurugram +12 other locations,734
1451,Indusind Marketing & Financial Services,3.6 (734),734,Financial Services , Chennai +273 other locations,734
1452,Rackspace,3.7 (733),733,IT Services & Consulting , Gurugram +15 other locations,733
1453,Smollan Group,3.9 (732),732,Marketing & Advertising , Mumbai +143 other locations,732
1454,Mindsprint,3.6 (734),734,IT Services & Consulting , Chennai +10 other locations,734
1455,Isuzu Motors,4.1 (734),734,Automobile , Chennai +39 other locations,734
1456,GirnarSoft,3.6 (732),732,IT Services & Consulting , Gurugram +54 other locations,732
1457,Deepak Nitrite,3.9 (732),732,Chemicals , Vadodara +20 other locations,732
1458,Boeing,3.8 (732),732,Aviation , Bengaluru +13 other locations,732
1459,Adidas,3.9 (731),731,Fashion & Textile , Gurugram +70 other locations,731
1460,Aurigo Software Technologies,4.6 (731),731,Software Product , Bengaluru +6 other locations,731
1461,The Akshaya Patra Foundation,4.4 (730),730,Non-Profit , Bengaluru +68 other locations,730
1462,Vertex Customer Solutions,3.5 (730),730,IT Services & Consulting , Chennai +33 other locations,730
1463,Writer Information Management Services,3.1 (732),732,BPO , Mumbai +69 other locations,732
1464,RITES,3.9 (726),726,Engineering & Construction , Gurugram +88 other locations,726
1465,Electrosteel Casting,3.6 (727),727,Building Material , Kolkata +30 other locations,727
1466,V-Trans,3.8 (725),725,Logistics , Mumbai +95 other locations,725
1467,Lavender Technology,4.9 (724),724,IT Services & Consulting , Bengaluru +8 other locations,724
1468,McKinsey & Company,3.8 (722),722,Management Consulting , Gurugram +25 other locations,722
1469,LG Soft India,2.8 (722),722,IT Services & Consulting , Bengaluru +15 other locations,722
1470,Volkswagen Group Technology Solution,3.9 (721),721,IT Services & Consulting , Pune +14 other locations,721
1471,Delta Electronics,3.9 (722),722,Electronics Manufacturing , Bengaluru +44 other locations,722
1472,BDO India LLP,3.2 (721),721,Accounting & Auditing , Mumbai +36 other locations,721
1473,DuPont,4.2 (721),721,Waste Management , Hyderabad +47 other locations,721
1474,Expleo Solutions,3.6 (719),719,IT Services & Consulting , Chennai +15 other locations,719
1475,Ag Industries,3.9 (720),720,Auto Components , Gurugram +32 other locations,720
1476,ffreedom app,3.5 (720),720,Internet , Bengaluru +26 other locations,720
1477,B. G. Shirke Construction Technology,4.2 (719),719,Engineering & Construction , Pune +26 other locations,719
1478,Nvidia,3.5 (719),719,Hardware & Networking , Pune +19 other locations,719
1479,Molex,3.9 (718),718,Electronics Manufacturing , Bengaluru +17 other locations,718
1480,Evision Technoserve,4.7 (718),718,IT Services & Consulting , Pune +44 other locations,718
1481,Koch Business Solutions,3.1 (717),717,IT Services & Consulting , Bengaluru +11 other locations,717
1482,AI Airport Services,3.3 (717),717,Aviation , Mumbai +60 other locations,717
1483,Mitsubishi Electric India,4.2 (716),716,Electronics Manufacturing , Pune +52 other locations,716
1484,TDK India Private Limited,3.9 (716),716,Semiconductors , Nashik +26 other locations,716
1485,Sterlite Power,4.0 (716),716,Power , New Delhi +83 other locations,716
1486,BSH Home Appliances Group,3.8 (714),714,Consumer Electronics & Appliances , Bengaluru +60 other locations,714
1487,Eugia Pharma Specialities,4.0 (714),714,Pharma , Hyderabad +18 other locations,714
1488,Sterling Tools,4.6 (717),717,Auto Components , Faridabad +16 other locations,717
1489,Biba Apparels,3.5 (713),713,Fashion & Textile , New Delhi +97 other locations,713
1490,Turtlemint,3.6 (711),711,Internet , Mumbai +115 other locations,711
1491,Bristlecone,3.7 (711),711,IT Services & Consulting , Bengaluru +14 other locations,711
1492,NecLife,3.6 (711),711,Pharma , Chandigarh +30 other locations,711
1493,Genus Power Infrastructures,3.9 (710),710,Electronics Manufacturing , Jaipur +85 other locations,710
1494,uFaber,2.2 (710),710,Education & Training , Mumbai +24 other locations,710
1495,Home First Finance Company India,3.5 (709),709,NBFC , Mumbai +104 other locations,709
1496,Tavant Technologies,3.8 (709),709,IT Services & Consulting , Bengaluru +13 other locations,709
1497,Bikanervala,3.9 (710),710,FMCG , New Delhi +69 other locations,710
1498,Rentokil Pest Control,3.6 (708),708,Facility Management Services , Mumbai +111 other locations,708
1499,XcelServ Solutions,4.4 (708),708,IT Services & Consulting , New Delhi +33 other locations,708
1500,Medreich,3.9 (706),706,Pharma , Bengaluru +14 other locations,706
1501,R.V.R. PROJECTS,3.9 (704),704,Engineering & Construction , Hyderabad +68 other locations,704
1502,Trianz,3.5 (704),704,IT Services & Consulting , Hyderabad +9 other locations,704
1503,Apple,4.3 (705),705,Consumer Electronics & Appliances , Bengaluru +108 other locations,705
1504,Bahwan CyberTek,3.3 (705),705,IT Services & Consulting , Chennai +21 other locations,705
1505,Eastman Auto and Power Limited,3.9 (703),703,Electronics Manufacturing , Gurugram +70 other locations,703
1506,Razorpay,3.4 (704),704,FinTech , Bengaluru +27 other locations,704
1507,URC Construction,3.6 (702),702,Engineering & Construction , Chennai +51 other locations,702
1508,Goodyear,3.5 (702),702,Auto Components , Chhatrapati Sambhajinagar +66 other locations,702
1509,Sykes Business Services Of India,3.4 (702),702,BPO , Hyderabad +17 other locations,702
1510,Visteon,3.2 (702),702,Auto Components , Chennai +21 other locations,702
1511,Wow Momo Foods,4.1 (702),702,Hospitality , Kolkata +66 other locations,702
1512,Gartner,3.8 (702),702,Management Consulting , Gurugram +18 other locations,702
1513,Raychem RPG,3.7 (702),702,Electrical Equipment , Mumbai +34 other locations,702
1514,Thriveni Earthmovers,3.9 (701),701,Metals & Mining , Jamshedpur +46 other locations,701
1515,Shalby Hospitals,4.2 (700),700,Healthcare , Ahmedabad +23 other locations,700
1516,Redcliffe Labs,3.9 (701),701,Healthcare , New Delhi +83 other locations,701
1517,Diebold Nixdorf,3.6 (701),701,Software Product , Hyderabad +45 other locations,701
1518,Lovely Professional University,3.3 (698),698,Education & Training , Jalandhar +31 other locations,698
1519,Amrit Cement,3.9 (698),698,Building Material , Guwahati +49 other locations,698
1520,Mynd Solutions Private,3.7 (697),697,BPO , Gurugram +33 other locations,697
1521,TCNS Clothing Company,4.1 (697),697,Fashion & Textile , New Delhi +110 other locations,697
1522,Cotiviti,3.5 (696),696,Analytics & KPO , Hyderabad +10 other locations,696
1523,JSW Energy,4.1 (697),697,Power , Mumbai +77 other locations,697
1524,Wolters Kluwer,3.8 (696),696,Software Product , Pune +16 other locations,696
1525,Asb International,3.6 (695),695,Industrial Machinery , Mumbai +23 other locations,695
1526,NSB Bpo Solutions,2.8 (694),694,BPO , Noida +84 other locations,694
1527,Patel Engineering,4.0 (693),693,Engineering & Construction , Mumbai +69 other locations,693
1528,Kissht Finance,4.0 (697),697,FinTech , Mumbai +95 other locations,697
1529,ReSource Pro,3.8 (692),692,BPO , Bengaluru +9 other locations,692
1530,HSBC Bank,4.0 (694),694,Banking , Bengaluru +38 other locations,694
1531,Ramky Infrastructure,4.2 (692),692,Engineering & Construction , Hyderabad +51 other locations,692
1532,Transsion,4.0 (693),693,Consumer Electronics & Appliances , Noida +64 other locations,693
1533,HRH Next Services,2.9 (692),692,BPO , Hyderabad +23 other locations,692
1534,KreditBee,3.5 (693),693,Internet , Bengaluru +24 other locations,693
1535,Infor Global Solution,3.9 (691),691,Software Product , Hyderabad +9 other locations,691
1536,Tredence,3.4 (691),691,IT Services & Consulting , Bengaluru +9 other locations,691
1537,Ness Digital Engineering,3.3 (692),692,IT Services & Consulting , Bengaluru +11 other locations,692
1538,Samunnati,4.5 (691),691,NBFC , Chennai +61 other locations,691
1539,Radico Khaitan,4.0 (691),691,Beverage , Rampur +80 other locations,691
1540,Central Bank of India,3.9 (690),690,Banking , Mumbai +205 other locations,690
1541,Moglix,3.3 (690),690,Internet , Noida +39 other locations,690
1542,Csc E Governance Services,3.8 (690),690,Government , New Delhi +202 other locations,690
1543,LEAP India Limited,4.6 (690),690,Packaging , Mumbai +47 other locations,690
1544,Bharat Serums and Vaccines,3.9 (689),689,Pharma , Mumbai +66 other locations,689
1545,Embibe,3.4 (688),688,EdTech , Bengaluru +19 other locations,688
1546,Kaar Tech,4.4 (688),688,IT Services & Consulting , Chennai +12 other locations,688
1547,Technotask Business Solutions,3.5 (687),687,BPO , Bhopal +21 other locations,687
1548,Titan Eye Plus,4.1 (689),689,Other , Kolkata +132 other locations,689
1549,Micro Turners,3.8 (687),687,Auto Components , Baddi +42 other locations,687
1550,Kurlon,4.3 (687),687,Furniture & Furnishing , Bengaluru +88 other locations,687
1551,TTK Prestige,3.8 (687),687,Consumer Electronics & Appliances , Bengaluru +83 other locations,687
1552,CtrlS,3.6 (686),686,IT Services & Consulting , Hyderabad +17 other locations,686
1553,Vindhya Telelinks,4.0 (687),687,Hardware & Networking , Lucknow +93 other locations,687
1554,IHG,3.6 (686),686,Hospitality , New Delhi +46 other locations,686
1555,Jubilant Ingrevia,3.8 (686),686,Chemicals , Bharuch +33 other locations,686
1556,Flash Electronics,3.5 (686),686,Electronics Manufacturing , Pune +23 other locations,686
1557,Bayer Crop Science Vegetable Seeds,4.1 (686),686,Bengaluru +140 other locations,,686
1558,VRL Logistics,3.8 (686),686,Logistics , Bengaluru +119 other locations,686
1559,North East Small Finance Bank,3.5 (685),685,Banking , Guwahati +92 other locations,685
1560,Bisk Farm,4.0 (685),685,Food Processing , Kolkata +138 other locations,685
1561,PrimEra Medical Technologies,3.6 (685),685,IT Services & Consulting , Hyderabad +14 other locations,685
1562,Leverage Edu,4.1 (684),684,EdTech , Noida +22 other locations,684
1563,Toppr,3.4 (684),684,EdTech , Mumbai +42 other locations,684
1564,Vizag Steel,4.0 (684),684,Iron & Steel , Visakhapatnam +29 other locations,684
1565,Wuerth,3.5 (683),683,Industrial Machinery , Pune +65 other locations,683
1566,Writer Corporation,3.4 (684),684,Logistics , Mumbai +83 other locations,684
1567,Doosan Power Systems,4.3 (683),683,Power , Gurugram +31 other locations,683
1568,Caparo Engineering India,4.0 (683),683,Auto Components , Chennai +34 other locations,683
1569,Keventer,3.8 (682),682,FMCG , Kolkata +65 other locations,682
1570,Neeyamo Enterprise Solutions,3.6 (682),682,Pune +10 other locations,,682
1571,Cohesity,3.9 (683),683,Software Product , Pune +47 other locations,683
1572,Emami Agrotech,3.9 (682),682,Food Processing , Kolkata +67 other locations,682
1573,Testbook.com,3.3 (682),682,EdTech , Noida +30 other locations,682
1574,PPG Asian Paints,3.8 (681),681,Chemicals , Mumbai +58 other locations,681
1575,Orient Cement,4.4 (681),681,Building Material , Hyderabad +70 other locations,681
1576,Lohia Corp,4.0 (681),681,Industrial Machinery , Kanpur +21 other locations,681
1577,Solv,3.5 (680),680,Internet , Bengaluru +143 other locations,680
1578,Teamlease Digital,3.3 (680),680,Recruitment , Bengaluru +68 other locations,680
1579,Office Beacon,4.6 (680),680,BPO , Vadodara +22 other locations,680
1580,Nomura Holdings,3.7 (680),680,Investment Banking / Venture Capital / Private Equity , Mumbai +11 other locations,680
1581,Government of India,4.2 (679),679,Government , New Delhi +159 other locations,679
1582,Autoliv,3.9 (679),679,Auto Components , Bengaluru +23 other locations,679
1583,TVS Electronics,3.7 (679),679,Electronics Manufacturing , Chennai +73 other locations,679
1584,ChannelPlay,3.8 (679),679,Marketing & Advertising , Gurugram +93 other locations,679
1585,Nephroplus,3.8 (680),680,Healthcare , Hyderabad +113 other locations,680
1586,Dodla Dairy,4.2 (680),680,Food Processing , Hyderabad +73 other locations,680
1587,Medtronic,3.9 (678),678,Medical Equipment , Hyderabad +46 other locations,678
1588,BASF,4.2 (678),678,Chemicals , Mumbai +94 other locations,678
1589,Livpure,3.8 (678),678,Consumer Electronics & Appliances , Gurugram +83 other locations,678
1590,SG Analytics,2.5 (678),678,Analytics & KPO , Pune +12 other locations,678
1591,Rane NSK Steering Systems,4.0 (677),677,Auto Components , Chennai +26 other locations,677
1592,TransUnion,3.6 (676),676,Financial Services , Chennai +10 other locations,676
1593,InternEzy,4.9 (676),676,EdTech , Chennai +6 other locations,676
1594,YOKOGAWA,3.7 (676),676,Industrial Automation , Bengaluru +25 other locations,676
1595,Progressive Infovision,3.8 (675),675,Recruitment , New Delhi +78 other locations,675
1596,Bridgestone - Global Capability Center,4.0 (675),675,Auto Components , Pune +61 other locations,675
1597,Surya Roshni,4.1 (674),674,Building Material , New Delhi +74 other locations,674
1598,Quess IT Staffing Solutions,3.1 (675),675,Bengaluru +55 other locations,,675
1599,Orient Technologies,3.7 (673),673,IT Services & Consulting , Mumbai +50 other locations,673
1600,Blue Yonder,3.6 (673),673,Software Product , Bengaluru +14 other locations,673
1601,Lionbridge Technologies,3.5 (672),672,Content Development , Mumbai +14 other locations,672
1602,Capco Technologies,3.7 (672),672,IT Services & Consulting , Bengaluru +18 other locations,672
1603,Quislex Legal Services,4.0 (670),670,Legal , Hyderabad +11 other locations,670
1604,Dhanuka Agritech,3.7 (670),670,Agro Chemicals , Gurugram +108 other locations,670
1605,Snapdeal,3.8 (670),670,Internet , Gurugram +31 other locations,670
1606,DAV Public School,4.0 (670),670,Education & Training , New Delhi +154 other locations,670
1607,R.S. Infraprojects,4.0 (669),669,Engineering & Construction , Noida +98 other locations,669
1608,NextComm Corporation,4.8 (669),669,Software Product , Bengaluru +8 other locations,669
1609,Redington,4.0 (669),669,Hardware & Networking , Chennai +48 other locations,669
1610,Wissen Infotech,3.6 (669),669,IT Services & Consulting , Bengaluru +15 other locations,669
1611,Mahindra Integrated Business Solutions,3.4 (668),668,BPO , Mumbai +85 other locations,668
1612,Triveni Engineering & Industries,4.2 (668),668,Food Processing , Noida +57 other locations,668
1613,L&T Power,3.9 (668),668,Power , Vadodara +98 other locations,668
1614,Future Supply Chain Solutions,4.4 (667),667,Logistics , Nagpur +70 other locations,667
1615,MPS Limited,3.5 (667),667,Content Development , Dehradun +24 other locations,667
1616,Corteva Agriscience,4.3 (666),666,Agro Chemicals , Hyderabad +107 other locations,666
1617,Housing.com,3.6 (666),666,Internet , Gurugram +44 other locations,666
1618,EPL Limited,3.8 (665),665,Packaging , Mumbai +35 other locations,665
1619,Osource Global,3.5 (666),666,BPO , Mumbai +28 other locations,666
1620,Vasudha Pharma Chem,4.0 (665),665,Pharma , Visakhapatnam +9 other locations,665
1621,CJ Darcl Logistics Limited,4.0 (664),664,Logistics , Gurugram +83 other locations,664
1622,Welspun World,3.6 (664),664,Building Material , Anjar +52 other locations,664
1623,PCBL Chemical Limited,3.9 (662),662,Petrochemicals , Vadodara +24 other locations,662
1624,Tejas Networks,3.7 (662),662,Hardware & Networking , Bengaluru +35 other locations,662
1625,Omaxe,4.2 (662),662,Real Estate , New Delhi +24 other locations,662
1626,HCL Healthcare,4.6 (662),662,Healthcare , Noida +40 other locations,662
1627,Saint Gobain Glass,3.9 (662),662,Building Material , Chennai +56 other locations,662
1628,Kutumbh Care,4.0 (662),662,Recruitment , Noida +161 other locations,662
1629,Elite Elevators,4.1 (667),667,Industrial Machinery , Chennai +41 other locations,667
1630,Licious,3.6 (659),659,Internet , Bengaluru +38 other locations,659
1631,Ingram Micro,3.6 (661),661,IT Services & Consulting , Mumbai +47 other locations,661
1632,SMC Global Securities,3.5 (661),661,Financial Services , New Delhi +90 other locations,661
1633,JoulestoWatts Business Solutions,3.4 (660),660,IT Services & Consulting , Bengaluru +17 other locations,660
1634,Qatar Airways,3.5 (658),658,Aviation , Ahmedabad +29 other locations,658
1635,CSC,3.6 (657),657,Financial Services , Bengaluru +24 other locations,657
1636,Epicenter Technologies,3.4 (658),658,BPO , Mumbai +8 other locations,658
1637,Optimum Infosystem,3.2 (657),657,IT Services & Consulting , Chennai +16 other locations,657
1638,Magic Bus India Foundation,3.8 (657),657,Non-Profit , Mumbai +77 other locations,657
1639,Cogoport,3.2 (656),656,Internet , Mumbai +13 other locations,656
1640,Indorama,3.9 (657),657,Agro Chemicals , Haldia +46 other locations,657
1641,PeopleStrong,3.4 (656),656,Recruitment , Gurugram +20 other locations,656
1642,Krsnaa Diagnostics,3.6 (656),656,Healthcare , Pune +96 other locations,656
1643,DeHaat,3.6 (655),655,Internet , Gurugram +116 other locations,655
1644,Magic EdTech,3.6 (654),654,EdTech , Noida +11 other locations,654
1645,Healthians,4.1 (655),655,Internet , Gurugram +49 other locations,655
1646,Videocon d2h,3.8 (653),653,Internet , New Delhi +118 other locations,653
1647,bp,3.8 (653),653,Oil & Gas , Pune +15 other locations,653
1648,BDO RISE Private Limited,3.6 (652),652,Accounting & Auditing , Bengaluru +9 other locations,652
1649,ANAROCK Property Consultants,3.5 (654),654,Real Estate , Mumbai +31 other locations,654
1650,Celebi Aviation Holding,4.0 (653),653,Aviation , New Delhi +19 other locations,653
1651,Narayana e-Techno School,3.6 (653),653,Education & Training , Bengaluru +104 other locations,653
1652,BrightCHAMPS,4.3 (653),653,EdTech , Bengaluru +28 other locations,653
1653,TCI Express,3.9 (653),653,Logistics , Gurugram +79 other locations,653
1654,Data Entry,4.2 (652),652,BPO , New Delhi +112 other locations,652
1655,My Home Industries,4.0 (652),652,Building Material , Hyderabad +69 other locations,652
1656,Sintex BAPL,3.6 (650),650,Petrochemicals , Ahmedabad +71 other locations,650
1657,Quality Austria Central Asia,3.5 (650),650,Other , New Delhi +74 other locations,650
1658,Sandvik Asia,4.0 (649),649,Industrial Machinery , Pune +37 other locations,649
1659,Marlabs,3.5 (649),649,IT Services & Consulting , Bengaluru +12 other locations,649
1660,Marlabs,3.5 (649),649,IT Services & Consulting , Bengaluru +12 other locations,649
1661,TIAA Global Business Services,3.8 (649),649,Financial Services , Pune +10 other locations,649
1662,Nihilent,3.2 (648),648,IT Services & Consulting , Pune +8 other locations,648
1663,Centaur Pharmaceuticals,3.5 (647),647,Pharma , Pune +67 other locations,647
1664,Careon Healthcare Solutions,3.9 (647),647,Medical Equipment , Bengaluru +14 other locations,647
1665,Tata Power Delhi Distribution,3.8 (646),646,Power , New Delhi +32 other locations,646
1666,Times Group,3.8 (644),644,Printing & Publishing , Mumbai +48 other locations,644
1667,Yatra,3.3 (645),645,Travel & Tourism , Gurugram +20 other locations,645
1668,Surin Automotive,3.9 (644),644,Industrial Machinery , Pune +22 other locations,644
1669,Forbes Marshall,3.9 (643),643,Industrial Machinery , Pune +24 other locations,643
1670,Fiat India Automobiles,3.6 (643),643,Automobile , Pune +23 other locations,643
1671,Alshaya Group,3.7 (643),643,Retail , Bengaluru +29 other locations,643
1672,Uno Mindarika,4.0 (643),643,Auto Components , Gurugram +26 other locations,643
1673,Pennar Industries,3.5 (642),642,Engineering & Construction , Hyderabad +31 other locations,642
1674,Carrier,3.6 (642),642,Industrial Machinery , Hyderabad +52 other locations,642
1675,Hetero Healthcare,3.5 (642),642,Pharma , Hyderabad +81 other locations,642
1676,Talentpro,3.8 (641),641,Recruitment , Chennai +127 other locations,641
1677,TDS Lithium-Ion Battery,4.2 (641),641,Auto Components , Ahmedabad +20 other locations,641
1678,Ramboll,4.0 (641),641,Engineering & Construction , Gurugram +31 other locations,641
1679,Revolut,2.6 (639),639,FinTech , Bengaluru +18 other locations,639
1680,Inspirisys Solution,3.7 (640),640,IT Services & Consulting , Chennai +56 other locations,640
1681,Encore Capital Group,3.9 (639),639,IT Services & Consulting , Gurugram +4 other locations,639
1682,ICA Edu Skills,3.8 (640),640,Education & Training , Kolkata +119 other locations,640
1683,Impetus Technologies,3.4 (639),639,IT Services & Consulting , Indore +14 other locations,639
1684,3M,4.0 (638),638,Electronics Manufacturing , Bengaluru +54 other locations,638
1685,NiCE,3.5 (638),638,Software Product , Pune +15 other locations,638
1686,Grihum Housing Finance,3.7 (637),637,NBFC , Pune +150 other locations,637
1687,Khazana Jewellery,3.9 (637),637,Jewellery , Chennai +53 other locations,637
1688,Collegedunia,3.2 (636),636,Internet , Gurugram +28 other locations,636
1689,Corporate Infotech,3.7 (634),634,IT Services & Consulting , New Delhi +53 other locations,634
1690,Vikram Solar,3.6 (635),635,Power , Kolkata +43 other locations,635
1691,Anudip Foundation,4.1 (636),636,Non-Profit , Kolkata +64 other locations,636
1692,RealPage,3.6 (635),635,Software Product , Hyderabad +9 other locations,635
1693,GKN,3.8 (635),635,Defence & Aerospace , Pune +30 other locations,635
1694,Ferrero,3.9 (636),636,Food Processing , Pune +103 other locations,636
1695,The Lalit,3.5 (635),635,Hospitality , New Delhi +32 other locations,635
1696,Me n Moms,4.2 (634),634,Retail , Mumbai +67 other locations,634
1697,FCC Clutch,3.9 (634),634,Auto Components , Gurugram +26 other locations,634
1698,Welspun Corp,4.0 (634),634,Iron & Steel , Anjar +31 other locations,634
1699,ExportersIndia,4.9 (633),633,Internet , New Delhi +2 other locations,633
1700,MAQ Software,3.2 (633),633,IT Services & Consulting , Noida +10 other locations,633
